temperature,floor1,floor2,floor3,floor4,areaEvaluated
18,89,75,78,95,294
23,95,63,97,107,225
15,80,83,78,80,206
16,99,68,98,60,324
20,83,104,80,95,325
20,96,98,52,83,336
15,92,87,64,75,221
24,70,82,56,83,320
19,98,100,95,109,172
22,104,71,89,100,272
20,76,68,68,102,275
16,54,51,81,65,231
23,80,100,105,64,214
19,68,64,87,80,182
18,70,87,104,68,164
24,108,50,106,84,180
18,57,57,103,76,318
23,50,83,92,77,305
22,90,104,70,67,327
17,98,59,94,110,199
15,68,80,100,98,331
17,69,76,92,90,169
22,61,60,93,100,225
22,102,58,62,110,308
21,66,101,100,59,212
22,107,91,52,97,205
15,78,63,106,59,153
23,82,89,75,51,182
20,102,55,59,100,299
17,52,105,70,108,288
17,50,69,93,74,200
16,105,97,76,66,268
19,77,71,94,83,283
22,77,66,80,66,291
21,59,104,74,97,262
21,73,84,62,73,268
16,108,98,92,88,167
24,77,86,54,51,194
23,102,71,79,107,186
24,76,56,84,79,219
21,101,86,100,92,163
23,75,93,79,64,241
16,61,85,65,91,262
24,92,60,87,64,195
24,75,72,88,70,198
15,107,54,50,104,171
19,83,77,105,75,184
20,104,70,80,104,277
21,65,100,99,91,322
16,108,59,80,106,216
22,110,82,108,59,153
18,52,80,101,98,330
21,53,108,78,66,249
21,55,78,77,65,248
18,78,94,78,80,289
21,90,68,74,80,160
24,62,90,105,76,277
20,77,72,82,63,275
24,91,56,99,75,240
19,61,103,54,60,197
23,100,109,53,99,216
21,57,84,95,68,189
19,110,59,82,92,330
21,80,60,95,74,325
15,55,75,99,60,295
22,108,65,92,105,329
19,72,96,109,84,300
21,72,100,69,90,283
20,58,108,92,95,198
19,61,106,82,68,206
23,89,101,96,80,295
23,63,80,109,58,179
16,81,55,87,109,164
23,62,59,77,94,211
18,73,68,62,108,214
21,65,101,83,75,262
19,78,53,50,75,299
23,65,106,51,58,168
22,77,81,77,110,274
22,71,86,80,77,190
21,50,54,80,107,330
21,100,91,66,103,250
19,76,93,83,71,167
17,79,59,95,83,178
23,107,80,52,105,302
18,86,71,75,70,277
21,89,78,77,75,260
23,66,92,87,71,152
22,52,83,65,72,328
22,73,66,50,106,277
24,74,95,84,57,187
18,95,50,110,97,304
17,82,85,103,66,254
15,79,88,84,93,227
18,56,73,70,52,300
20,73,101,88,53,240
19,68,71,50,110,175
18,103,98,109,105,327
20,93,52,62,107,185
18,92,93,53,84,176
18,50,92,67,99,336
15,96,92,54,79,338
20,87,99,60,99,212
23,58,101,69,58,330
22,62,73,75,97,200
15,50,50,71,66,308
19,58,82,52,71,235
22,98,71,96,65,231
17,64,62,110,51,285
18,77,60,106,85,267
17,80,97,101,93,326
24,82,92,90,68,282
24,53,63,53,109,305
18,54,68,65,86,287
23,51,100,104,93,199
16,59,73,110,63,234
23,67,57,88,82,205
20,98,89,89,110,233
19,100,104,65,80,328
24,88,79,51,74,282
23,63,54,106,65,321
16,96,88,89,110,169
19,82,88,82,82,245
16,102,75,105,73,330
21,68,50,50,69,312
23,52,102,82,57,196
22,84,51,64,62,180
17,103,53,69,64,327
19,78,102,53,99,162
17,71,63,88,55,268
20,56,86,69,62,227
19,101,74,84,96,203
23,59,104,53,51,231
17,107,68,72,89,313
18,99,52,81,86,168
16,91,99,78,73,325
19,51,59,97,79,201
20,103,59,81,101,272
24,99,69,59,80,206
19,87,99,106,95,312
19,92,85,107,59,211
19,57,67,94,76,198
15,87,93,102,75,165
24,52,72,63,101,165
19,50,65,99,107,337
16,93,79,68,85,285
15,74,95,107,82,287
20,76,75,61,94,241
17,50,70,84,94,283
23,110,109,92,84,268
21,95,70,56,96,221
24,77,97,68,103,251
22,66,67,79,59,161
24,109,98,52,62,296
20,79,78,107,90,280
17,103,93,106,84,200
23,100,89,107,70,171
24,58,97,106,59,322
15,110,62,100,73,249
17,110,71,72,59,182
16,73,89,108,83,233
19,99,58,76,70,244
17,73,88,79,84,167
21,90,107,68,69,215
19,60,55,53,90,255
15,75,51,79,98,210
24,99,95,54,70,223
22,101,99,88,80,245
17,91,105,103,51,214
15,95,78,60,54,153
23,110,97,87,103,209
16,102,105,96,95,176
18,88,106,54,100,158
17,86,110,69,63,238
20,70,103,80,53,247
16,95,77,64,105,198
22,94,103,66,70,313
21,66,82,107,78,224
15,82,98,87,58,336
23,70,91,97,103,340
22,101,72,64,81,259
22,66,69,86,79,304
17,72,99,80,109,327
24,78,64,87,105,180
22,105,58,81,70,155
16,97,53,77,88,304
20,101,85,85,96,200
23,106,106,109,96,236
22,60,104,52,85,170
17,110,79,69,79,276
23,78,108,66,103,328
15,67,56,65,100,303
22,75,65,82,74,231
22,69,81,102,94,226
17,73,69,73,64,292
16,90,96,57,63,163
16,77,104,69,56,305
18,67,108,96,60,289
23,93,106,52,79,294
19,68,83,109,53,177
24,94,104,110,57,165
21,70,57,93,91,165
16,98,99,95,104,191
16,54,70,72,70,247
24,69,66,83,67,203
15,50,108,79,105,267
22,69,84,100,93,297
18,103,88,100,98,224
24,66,56,77,109,176
18,69,94,109,93,173
18,84,53,54,104,215
16,90,73,99,60,333
24,110,102,89,84,155
19,109,89,85,67,247
21,77,97,106,95,284
24,55,94,106,67,316
19,68,53,52,78,334
23,67,98,58,71,188
21,70,69,98,69,172
23,107,60,50,99,276
16,72,78,100,86,165
23,108,86,103,83,268
18,102,92,56,103,305
20,68,93,95,69,250
22,65,61,70,95,155
21,83,60,80,56,268
17,98,103,77,59,163
24,108,104,109,77,294
15,83,81,79,71,337
20,89,95,95,60,183
23,91,51,69,54,255
23,61,62,67,76,281
24,99,72,86,65,294
21,70,101,86,103,179
19,106,66,62,90,292
23,92,80,96,87,227
24,86,68,56,86,262
21,51,105,105,93,195
17,90,88,88,108,335
24,61,52,78,101,339
19,82,59,102,89,204
15,76,77,71,67,157
17,91,94,51,63,304
23,100,69,58,54,194
23,84,56,103,99,202
20,93,65,88,99,217
23,61,55,80,100,156
16,63,93,50,62,287
20,56,79,62,89,244
15,67,72,66,67,282
18,104,97,88,80,160
23,90,58,110,108,151
23,70,84,97,93,165
19,90,85,74,58,236
23,84,93,83,105,340
21,99,84,55,96,257
18,60,106,100,65,278
24,58,81,65,83,225
19,79,58,52,79,289
18,100,108,61,89,156
18,83,73,53,79,196
22,102,70,85,50,212
21,96,94,90,67,210
21,58,110,106,72,286
19,103,51,105,57,229
17,84,78,64,58,305
17,94,52,71,104,214
22,109,57,97,84,200
20,92,61,59,101,333
17,54,102,67,92,240
24,94,107,100,74,165
15,67,76,82,87,314
24,84,92,80,69,210
20,103,97,95,103,259
23,96,110,71,92,154
24,73,89,97,69,226
23,102,88,107,66,223
22,93,108,74,99,263
16,106,100,76,92,319
15,109,83,80,82,277
19,100,90,85,73,284
23,70,72,108,110,326
24,92,98,89,87,302
19,93,84,104,56,263
17,83,77,88,108,267
21,101,80,104,106,333
15,75,91,93,72,259
21,103,53,51,87,177
15,81,54,102,75,190
23,101,88,69,71,179
18,52,62,85,102,266
23,101,90,95,94,327
17,110,85,100,82,170
19,72,105,82,89,150
20,72,75,63,107,177
22,76,72,83,72,199
20,65,97,50,75,199
24,86,72,92,86,218
17,96,102,62,104,191
19,70,100,51,94,254
23,51,88,79,109,287
19,52,50,59,86,323
19,54,56,61,98,199
17,66,64,55,105,339
20,52,58,105,102,235
17,77,93,69,87,320
23,65,106,75,87,190
24,71,50,76,76,310
21,53,53,88,58,302
23,51,101,70,58,161
17,99,79,60,51,307
15,78,67,88,52,314
24,76,93,70,85,248
22,81,93,94,69,322
20,74,63,63,59,167
19,79,96,83,96,203
24,75,106,106,79,273
22,101,99,83,101,173
23,68,55,83,85,214
17,71,102,51,107,155
15,89,109,60,67,186
16,85,53,64,110,282
16,106,78,65,74,258
23,53,55,85,86,316
24,83,81,83,72,242
21,85,72,89,100,334
17,108,100,64,74,164
20,77,88,85,70,184
23,50,68,73,72,210
16,108,110,89,51,213
15,57,106,59,75,254
16,63,58,91,74,255
21,107,103,90,65,291
17,86,108,57,70,202
18,82,108,103,107,187
20,66,58,87,89,322
24,75,109,56,73,170
17,109,61,93,57,333
23,99,76,74,80,223
21,83,56,104,84,284
15,105,65,96,76,242
17,58,77,103,51,156
16,78,86,85,109,245
24,63,88,52,97,160
23,87,92,60,91,245
17,97,89,84,95,183
20,60,89,56,63,201
24,96,96,102,77,204
18,81,79,56,108,171
20,81,94,86,79,204
18,99,65,77,87,248
17,72,62,99,58,217
16,100,64,103,107,312
19,82,86,102,62,340
17,87,55,95,76,284
24,72,57,72,50,282
21,55,68,93,80,226
20,103,95,72,83,200
18,69,105,67,66,273
18,108,59,87,86,193
17,85,110,82,107,205
17,61,90,57,62,224
16,83,54,70,97,269
24,76,73,70,89,192
19,97,67,51,65,181
20,91,100,96,65,297
20,80,76,81,90,177
23,57,55,93,78,197
19,59,84,62,75,317
18,84,75,53,68,284
23,94,73,106,60,197
17,74,76,61,104,188
23,108,56,61,86,168
21,66,55,74,96,282
17,109,66,91,108,306
19,69,84,77,60,249
19,72,51,50,93,150
23,60,61,93,82,281
21,99,75,53,61,292
18,54,84,105,76,207
22,87,59,57,109,337
16,95,80,98,77,221
20,53,78,88,65,266
22,81,102,69,53,310
22,60,61,53,62,292
24,56,67,61,93,154
24,82,52,81,89,244
16,104,110,67,58,308
21,71,79,80,50,237
19,91,95,76,54,206
18,81,56,81,110,164
24,73,108,109,58,253
24,96,74,75,79,263
17,73,72,103,98,331
15,65,69,108,100,282
20,56,93,89,93,322
20,93,75,110,84,201
20,61,79,51,91,199
15,68,99,72,102,263
17,74,97,66,85,236
19,110,77,51,105,212
19,68,81,65,56,241
17,100,94,73,81,220
18,62,109,93,73,228
15,63,68,85,69,235
15,78,109,79,100,195
16,65,108,68,76,190
17,54,93,73,105,325
24,67,73,88,54,275
21,53,95,105,98,272
22,96,54,108,78,162
22,58,56,88,101,213
24,59,55,105,79,263
17,98,95,103,65,197
16,85,51,82,55,275
19,80,105,109,91,179
15,70,82,95,100,332
16,54,109,97,78,228
16,88,87,75,54,196
21,84,66,95,108,161
20,65,74,66,75,340
19,77,108,107,95,247
24,82,108,72,95,224
23,89,62,104,55,303
16,87,63,66,94,152
21,94,104,83,82,190
21,65,83,103,67,308
16,99,77,66,104,208
23,109,81,64,71,248
22,57,78,105,61,317
23,107,50,99,77,298
17,79,52,52,92,203
16,86,70,72,78,293
17,72,90,79,108,170
24,67,93,76,87,287
16,86,55,85,95,250
18,89,99,97,54,175
17,72,50,56,86,305
19,52,53,101,55,222
22,99,95,102,87,252
18,70,85,75,103,177
16,94,75,76,87,295
16,89,108,108,90,267
23,83,105,68,62,222
23,77,109,87,66,266
18,84,85,75,85,184
18,71,76,76,108,335
20,60,81,107,58,162
21,88,52,82,88,194
18,99,68,76,79,326
20,74,67,65,76,254
17,92,54,64,66,186
24,103,52,104,95,192
19,102,72,86,102,238
16,78,94,109,75,311
15,99,60,64,79,154
19,66,79,81,53,324
19,55,73,50,105,258
22,61,99,108,106,182
22,53,67,110,88,226
15,58,105,56,53,189
24,63,93,94,67,252
18,88,79,77,90,283
17,51,99,80,74,314
20,81,74,90,101,169
23,97,84,85,95,310
23,96,102,82,52,186
18,106,95,104,60,298
16,63,81,109,51,158
19,82,66,81,96,268
19,68,107,77,105,184
19,97,73,78,84,310
22,78,89,55,76,192
15,81,106,67,77,329
20,65,104,88,51,316
22,81,56,81,54,281
20,103,105,54,68,158
24,60,92,86,50,203
24,74,99,51,76,218
18,65,109,97,68,243
21,63,60,63,81,302
16,108,62,91,109,154
17,65,107,59,85,222
24,59,83,64,80,193
21,65,78,98,110,329
22,89,67,50,57,215
18,107,71,110,57,306
23,108,69,89,85,335
15,51,92,102,71,313
16,53,66,61,63,268
15,96,93,74,107,222
24,104,55,103,106,273
22,95,62,67,64,332
22,98,77,59,56,319
16,66,108,68,84,319
16,82,52,98,91,208
16,97,70,95,97,179
18,92,50,102,87,310
23,70,64,78,59,257
16,74,70,95,94,171
23,103,85,104,110,204
23,51,99,84,108,282
