floor1,floor2 ,floor3,floor4,temperature,area
259,293,273,223,15.9,64
202,288,243,290,18.0,65
125,290,146,218,17.4,72
284,236,203,225,22.5,50
149,147,264,196,21.0,97
110,139,282,197,21.5,90
142,214,228,292,21.4,71
203,186,189,138,19.6,75
130,219,161,119,19.7,98
103,159,222,258,19.0,79
173,290,191,177,18.5,77
105,160,288,161,24.3,89
200,143,296,279,18.7,70
253,109,287,166,20.8,52
196,236,282,122,24.1,54
300,228,204,100,21.0,66
188,257,177,290,21.7,67
188,134,197,157,16.9,65
294,219,192,252,23.2,59
239,215,175,203,18.5,89
289,215,189,255,15.2,89
272,249,117,130,21.3,95
287,276,226,268,24.9,53
200,141,190,169,21.7,69
237,136,155,178,16.0,93
106,214,146,152,15.1,63
263,142,112,127,19.8,82
293,219,114,229,19.3,97
235,290,260,148,19.4,81
260,260,204,284,21.5,77
175,189,269,233,16.7,62
263,245,119,255,19.6,56
282,222,261,158,23.6,63
163,138,297,102,21.4,82
143,143,146,271,19.4,63
115,138,219,150,19.5,99
172,209,106,113,18.7,91
229,269,110,106,16.0,55
286,105,233,221,20.4,61
297,216,154,132,24.4,69
227,119,158,229,19.6,60
247,175,200,163,20.2,81
212,290,143,243,17.5,85
112,157,268,137,24.4,70
266,248,281,197,24.4,83
171,262,208,169,23.6,79
285,159,224,292,22.9,71
251,283,234,247,19.3,93
244,175,280,171,22.4,98
197,235,299,108,24.1,68
214,104,294,126,21.1,91
263,201,203,120,22.0,72
132,216,216,218,19.2,70
213,111,241,133,19.9,100
272,181,256,108,21.2,89
284,160,117,205,16.4,81
224,204,248,216,17.5,51
247,190,260,185,21.4,63
255,127,285,253,19.8,70
197,127,138,270,24.4,76
206,203,121,138,23.4,59
180,187,150,219,15.6,79
249,244,245,297,17.7,62
289,273,175,177,17.5,96
105,166,199,222,24.2,61
100,196,194,231,22.0,92
200,238,105,173,23.5,63
285,270,268,268,22.3,65
124,168,120,232,18.0,54
158,164,204,162,23.8,73
151,140,203,260,21.7,65
297,280,266,147,17.0,51
214,105,125,239,15.3,88
152,239,171,298,21.4,58
163,205,147,192,23.6,64
292,150,198,264,20.3,68
139,163,300,140,24.5,82
139,281,299,161,23.5,78
274,114,206,184,19.1,85
106,132,112,286,18.0,82
201,116,150,208,23.5,93
115,297,289,268,17.5,89
131,261,163,284,18.1,94
290,198,276,103,24.3,57
154,249,225,102,21.2,64
149,117,101,216,24.2,68
131,118,125,124,23.0,61
249,124,213,210,21.3,79
287,157,116,203,20.0,66
209,269,158,146,21.7,69
300,159,283,198,19.7,91
108,113,155,196,22.1,53
300,291,216,290,17.6,97
119,190,187,194,16.4,77
285,139,206,280,18.9,77
144,180,205,290,22.4,94
123,104,201,204,18.2,96
109,114,199,236,24.6,93
264,111,175,267,23.4,61
127,296,228,211,23.1,68
194,137,198,154,24.9,96
263,191,219,293,21.9,54
229,157,103,281,22.5,51
156,279,299,230,17.1,95
198,131,127,178,17.7,50
233,175,185,151,20.8,67
204,181,112,213,22.9,59
270,116,123,194,20.6,84
137,187,280,180,19.8,68
219,247,230,137,24.9,95
295,115,222,169,21.0,54
242,108,197,201,20.3,50
288,170,266,137,19.7,73
208,164,230,237,24.8,98
196,221,176,146,16.5,59
119,130,280,179,15.5,68
231,110,170,249,15.5,59
197,273,197,246,20.3,80
136,255,105,230,20.0,99
158,248,107,294,18.0,93
236,290,129,183,20.0,54
289,261,113,245,22.8,65
113,211,121,121,15.2,96
201,177,279,260,20.6,61
177,213,153,265,20.0,63
219,128,201,189,20.9,94
259,194,262,155,20.5,95
229,191,291,203,23.6,52
203,133,187,219,24.6,60
115,248,142,192,20.0,51
111,169,188,288,23.4,74
202,266,159,125,20.5,67
255,140,255,276,23.4,94
204,157,249,102,18.6,60
110,243,158,223,20.1,92
288,168,290,149,18.4,71
236,163,172,170,19.2,86
114,124,135,273,24.9,74
101,157,146,109,22.4,58
257,270,227,108,22.3,98
148,278,167,283,16.6,84
207,202,141,200,19.7,79
157,210,125,217,15.0,92
142,249,241,243,21.0,82
194,242,214,204,19.3,62
193,214,187,298,22.0,69
181,234,297,273,15.3,87
129,176,268,149,23.0,56
247,257,202,264,20.3,71
234,201,227,176,23.7,89
240,155,138,193,20.1,55
243,196,167,124,16.5,84
152,181,170,183,24.2,70
222,265,238,236,23.0,59
169,211,190,139,23.2,58
294,114,109,130,24.6,61
225,222,297,211,15.2,62
235,146,223,147,17.8,56
176,133,154,276,23.1,94
136,157,258,193,21.8,65
204,275,197,126,16.9,51
116,244,176,136,19.4,72
266,261,118,289,21.4,92
174,172,141,254,23.8,81
185,153,215,193,19.7,67
153,281,142,200,18.7,69
171,122,296,166,24.7,79
175,234,166,286,22.4,73
158,287,237,284,16.9,52
175,219,185,214,24.7,68
183,217,117,219,21.6,91
112,270,234,252,15.6,62
262,222,272,292,22.4,90
118,117,168,289,23.0,60
289,193,231,143,18.3,94
276,126,198,162,23.1,92
160,130,188,231,19.5,68
273,253,291,135,15.2,71
289,119,256,244,18.6,84
273,224,155,258,21.1,68
185,134,150,271,23.9,64
289,239,178,153,18.6,69
122,122,272,267,20.9,99
159,189,214,122,22.5,72
249,227,170,162,18.4,63
231,261,282,120,17.9,53
203,156,206,291,17.2,58
139,109,273,150,21.6,75
249,161,296,260,20.4,58
241,134,288,161,16.3,54
288,267,229,261,16.4,63
236,178,117,127,18.1,92
109,145,139,158,21.1,70
128,228,162,125,17.0,79
156,247,143,163,21.4,73
298,221,211,118,21.9,89
206,289,183,104,22.6,86
281,246,231,220,22.0,89
287,275,181,215,22.4,55
214,155,259,134,18.5,79
257,278,177,190,15.8,98
264,144,115,284,24.9,63
291,160,280,139,18.1,94
250,224,256,240,23.8,50
117,210,268,153,24.8,59
197,103,201,199,15.9,50
285,109,242,131,20.6,52
106,263,109,281,23.3,52
124,241,242,124,15.9,70
142,161,120,108,22.7,92
151,160,138,193,21.0,81
265,152,165,232,21.0,65
210,257,284,208,19.4,53
108,119,123,273,17.4,51
183,259,295,292,19.6,100
161,155,102,291,19.9,80
191,273,287,273,23.5,51
259,214,125,270,23.0,68
235,154,182,276,15.5,64
173,208,134,100,16.6,87
130,219,235,291,15.3,77
244,214,196,141,20.3,52
239,112,250,191,15.9,71
253,122,127,124,18.5,91
201,228,274,155,24.5,74
288,114,166,234,21.5,78
152,215,204,137,19.7,94
274,292,141,227,22.7,75
134,193,181,270,24.0,62
200,135,295,193,22.5,50
174,178,105,116,24.5,97
127,253,105,108,22.5,73
181,159,267,112,16.6,70
106,185,205,272,16.2,53
267,153,192,224,19.1,87
238,167,109,207,24.7,100
207,107,201,201,17.8,90
248,116,275,100,22.1,81
245,102,278,172,21.0,69
251,290,107,203,19.2,91
124,184,246,234,21.1,58
207,192,151,204,22.5,62
175,143,225,131,16.5,61
100,282,185,138,15.9,69
162,252,276,254,23.1,69
241,276,260,140,22.2,62
105,245,103,226,16.0,61
211,188,213,154,22.7,93
255,203,276,240,16.9,69
271,159,143,262,21.3,58
205,234,291,209,15.5,91
121,151,173,296,17.5,65
266,160,110,232,16.9,60
270,134,298,122,23.4,73
104,171,177,161,22.5,98
290,240,141,196,17.2,60
285,101,245,263,21.2,79
195,236,198,264,16.6,74
145,141,280,207,20.5,87
235,179,236,137,25.0,67
279,258,270,294,20.8,54
104,287,253,152,19.8,81
121,107,215,174,20.3,81
155,133,274,280,16.4,65
139,148,116,258,19.2,57
235,196,289,282,21.1,66
155,149,143,113,21.4,81
100,116,118,217,22.7,59
130,218,285,121,23.7,61
110,106,219,161,22.1,50
137,142,216,264,17.1,55
142,256,290,170,20.4,84
280,101,120,134,16.8,99
243,131,150,278,17.4,92
144,263,158,294,23.0,67
229,118,201,299,24.8,96
159,131,277,198,16.1,96
190,201,207,254,16.8,90
105,208,200,247,24.7,93
215,223,103,158,16.5,75
265,202,138,130,16.1,70
240,104,221,272,17.6,97
192,127,261,226,22.9,93
220,292,180,267,15.5,99
158,168,101,144,23.7,68
142,204,216,235,24.9,92
260,297,205,103,19.2,72
213,239,194,102,15.9,88
209,297,152,160,19.5,93
232,256,267,190,22.9,51
182,200,129,234,20.8,53
113,235,241,265,15.9,62
286,218,293,293,23.7,91
146,144,250,127,23.3,74
236,184,183,269,17.2,72
182,210,216,287,23.0,83
186,228,154,186,23.3,97
109,241,211,167,21.0,57
280,208,226,203,20.1,85
223,295,268,187,18.6,51
111,220,173,200,19.1,90
240,144,292,281,18.6,81
171,203,148,295,18.9,57
253,223,120,106,18.0,87
189,296,279,291,18.6,91
158,266,120,267,24.2,57
107,207,130,276,18.5,99
198,121,213,288,15.2,53
215,229,108,212,18.2,59
161,181,108,195,19.8,68
212,156,173,194,24.1,67
205,283,143,222,18.3,99
190,176,133,296,21.5,52
253,173,119,103,17.9,93
261,250,260,261,23.5,74
141,103,169,297,15.5,95
206,246,153,283,19.5,97
231,258,140,169,20.3,95
253,298,193,117,23.1,91
158,178,226,275,22.9,91
287,230,197,279,21.6,57
254,178,125,223,18.7,94
136,220,107,213,22.8,88
218,209,178,185,23.6,76
195,298,192,163,15.7,75
130,201,198,170,16.3,85
138,150,202,174,17.5,87
177,150,101,148,17.5,85
247,185,188,140,17.6,96
123,279,297,222,15.2,70
198,135,191,160,18.1,69
197,181,209,125,16.6,88
286,160,281,268,15.6,77
140,202,190,142,18.4,96
151,243,140,216,20.2,88
221,202,152,131,19.2,51
150,201,236,156,24.8,65
255,299,119,201,20.9,59
173,208,151,245,24.1,79
282,189,136,286,20.6,63
219,134,253,137,22.0,88
148,111,166,102,24.0,92
283,137,238,242,18.3,68
109,122,201,218,15.3,57
121,207,255,225,15.2,63
131,239,223,281,20.1,89
296,121,256,194,15.6,93
198,217,290,188,19.6,77
275,287,294,279,18.3,86
116,155,257,147,20.5,51
188,212,289,290,24.6,70
146,120,211,160,22.9,67
297,148,177,247,15.3,75
243,200,144,205,17.0,65
211,213,174,225,23.9,63
215,178,200,184,19.9,92
293,244,197,131,23.3,54
275,131,200,277,21.7,56
156,296,109,183,15.4,99
138,113,239,126,15.4,85
135,165,175,186,16.8,68
248,204,103,265,20.4,75
276,204,236,197,15.9,82
266,172,136,135,24.6,98
151,221,159,217,15.2,90
296,155,238,190,16.0,81
148,161,247,247,17.6,77
163,251,137,167,21.9,58
294,271,266,149,23.3,91
226,275,282,190,20.0,60
279,179,178,276,22.0,73
204,161,135,174,16.7,71
101,235,171,104,20.1,82
265,136,212,273,16.6,61
241,150,285,192,15.3,53
198,117,178,115,16.9,60
110,293,251,270,23.2,94
132,233,203,228,23.8,55
158,178,131,146,18.3,70
282,174,269,261,17.0,68
169,129,207,233,15.7,78
156,184,287,235,22.2,99
105,172,270,257,19.0,90
212,156,106,105,15.9,97
292,219,175,295,15.2,51
263,218,161,125,17.4,65
194,189,122,130,20.4,96
201,166,142,225,18.3,90
230,110,121,289,18.9,58
160,195,254,223,15.1,67
235,138,203,212,16.7,63
193,154,163,259,19.0,54
288,293,161,271,24.4,96
247,287,281,118,19.7,59
170,175,173,188,16.5,54
283,296,116,300,15.2,74
156,293,136,113,17.5,57
238,234,142,233,23.2,90
120,266,147,252,23.9,91
275,241,129,285,21.1,53
164,117,226,227,20.7,80
245,252,212,190,19.5,77
221,139,105,289,16.3,88
120,126,253,112,17.5,98
242,134,279,229,16.5,58
158,128,253,248,18.6,57
129,277,265,232,22.0,58
227,144,269,234,16.0,59
274,175,295,200,16.5,75
142,282,127,178,21.5,67
167,281,253,193,20.5,86
280,164,170,125,17.9,98
183,247,208,131,23.0,67
209,249,300,146,17.8,92
192,269,178,264,21.5,92
137,109,252,261,21.2,85
154,268,152,208,20.3,88
149,284,256,287,18.7,60
170,239,104,174,16.7,72
272,120,209,116,22.7,74
170,109,154,153,15.7,59
145,205,167,159,21.6,89
285,266,110,147,19.7,54
132,109,248,232,16.8,61
190,220,257,139,24.7,51
259,299,265,288,20.0,63
125,239,130,266,23.5,54
207,229,171,251,20.8,97
109,298,130,291,19.8,68
123,168,215,142,15.7,57
177,157,148,199,16.1,63
160,205,290,256,19.5,53
206,299,210,111,22.3,89
140,286,164,121,16.9,64
166,290,204,297,20.9,85
274,258,271,201,20.7,79
172,224,108,235,16.9,57
230,240,278,296,19.3,84
186,144,173,150,16.8,88
190,198,198,215,20.7,59
298,194,293,179,24.3,77
187,163,248,162,20.7,93
247,285,236,175,19.6,72
218,225,185,145,18.3,64
244,273,121,240,19.1,100
256,110,113,141,20.1,88
265,293,262,154,21.5,91
223,137,112,259,17.1,59
276,207,281,270,22.5,80
268,160,289,248,23.7,77
293,193,252,292,24.0,78
192,119,210,203,22.5,93
195,284,163,252,22.0,80
114,226,281,289,21.6,82
131,251,121,105,24.0,54
219,203,174,134,17.5,73
230,201,215,113,20.0,79
266,145,228,142,24.9,98
184,156,127,180,21.4,72
231,225,278,267,20.5,94
237,206,200,244,22.6,95
154,229,214,228,22.1,94
138,222,276,267,16.8,74
137,175,136,146,17.1,79
225,181,185,234,22.6,79
124,112,122,106,21.3,67
143,294,287,169,22.5,100
106,228,299,276,20.6,96
252,153,182,254,20.0,95
224,178,231,225,17.5,72
211,256,238,276,23.4,90
290,133,278,103,18.4,95
116,182,166,122,23.2,75
162,235,186,224,22.9,62
102,242,150,107,23.8,90
225,110,176,104,21.1,82
210,101,243,167,19.1,50
111,161,238,229,17.1,52
163,234,287,217,22.0,97
250,138,147,188,15.7,85
234,215,206,181,24.8,58
210,291,147,268,20.2,78
222,140,278,242,23.8,93
183,112,240,210,16.9,86
120,161,210,132,18.0,89
290,156,180,222,23.0,80
292,166,250,165,24.5,52
150,158,233,193,17.1,59
205,298,100,269,15.7,52
211,213,134,297,19.4,72
180,209,279,162,16.5,84
147,243,113,243,16.9,96
296,130,248,295,15.1,52
141,265,197,103,17.4,54
277,199,153,226,19.6,88
296,179,171,257,15.9,68
252,211,235,250,15.6,58
171,179,276,158,24.8,71
280,142,283,181,17.6,97
184,287,230,155,19.4,78
247,286,298,238,19.8,71
229,154,166,249,15.3,86
282,106,250,264,21.9,71
145,172,184,202,16.3,93
221,158,204,155,21.0,93
204,266,239,192,15.0,91
116,189,250,227,22.5,51
223,300,261,218,20.1,99
144,277,123,270,21.9,86
294,108,165,151,20.8,69
227,263,282,192,21.3,96
249,220,139,283,23.5,85
276,133,200,219,18.3,68
244,253,196,136,19.1,51
113,174,218,144,23.4,93
274,210,180,132,21.9,94
122,257,265,129,22.0,96
245,290,254,231,15.2,98
137,204,132,285,15.9,77
269,257,263,155,17.4,70
261,247,111,259,21.0,62
134,262,167,148,23.8,77
217,180,217,104,18.7,72
259,129,268,171,16.1,85
155,148,204,269,19.0,63
239,167,153,190,20.9,71
215,217,265,142,17.9,100
222,122,254,165,15.9,81
100,253,220,182,22.2,72
235,166,112,196,23.4,79
240,151,245,183,21.6,92
231,118,263,117,23.3,97
120,172,257,206,15.5,93
187,135,154,257,23.2,70
185,254,124,166,18.1,88
260,286,182,103,23.1,96
241,233,279,100,20.6,77
104,191,269,197,21.8,50
116,204,135,249,24.1,53
150,124,134,240,22.5,60
235,222,263,131,20.8,75
162,259,283,211,20.4,83
262,281,235,268,16.2,82
160,114,139,232,24.6,70
297,146,136,142,18.3,66
181,276,231,210,21.2,94
281,259,136,194,22.1,87
104,269,288,203,22.5,89
135,247,273,209,15.2,68
213,161,214,218,16.2,85
176,219,142,160,21.4,54
179,236,275,293,23.3,77
114,146,160,297,21.6,64
230,245,217,146,15.6,56
176,190,156,165,18.3,92
216,242,250,232,18.9,74
295,138,103,203,19.6,94
220,257,229,184,15.7,84
261,202,280,128,21.2,74
148,118,274,126,21.7,64
205,123,243,264,15.4,54
147,214,236,169,15.3,50
259,244,166,178,20.7,95
157,159,128,193,20.5,58
215,145,246,101,15.4,75
227,230,213,246,17.8,65
149,203,253,252,18.9,61
129,264,280,216,24.3,54
181,268,113,133,20.6,82
245,279,101,221,18.5,79
278,179,277,126,23.9,91
289,293,205,184,20.3,87
172,254,293,173,16.0,71
131,278,100,175,17.7,74
299,106,146,238,23.2,50
262,154,170,230,17.1,53
146,232,235,136,16.1,60
298,211,209,246,22.1,59
212,177,221,271,17.3,95
285,284,231,294,15.0,92
278,235,133,231,21.3,93
126,169,198,206,15.3,94
228,104,265,229,21.5,96
102,279,131,273,17.6,75
282,211,110,220,17.4,78
117,228,169,151,24.3,60
237,256,218,215,23.1,58
160,211,181,266,24.6,100
201,181,179,157,21.0,100
161,281,195,246,19.9,77
114,146,218,201,22.4,52
292,256,129,138,24.0,94
163,211,210,199,25.0,95
165,118,217,135,24.9,78
144,142,126,228,17.1,81
291,122,163,152,22.4,74
226,223,295,130,15.3,95
272,200,199,213,23.5,80
222,185,188,228,22.1,82
192,266,236,132,17.6,92
136,156,211,208,21.6,86
233,290,207,279,18.1,95
156,146,242,159,18.1,66
194,167,119,287,20.0,87
154,172,175,102,16.4,73
276,227,268,294,22.7,96
182,137,296,277,16.8,69
101,114,249,175,21.4,62
275,171,103,230,18.5,96
214,199,149,261,24.7,55
164,179,146,283,19.2,96
206,153,130,164,24.6,82
252,198,190,205,16.5,63
151,236,248,300,15.5,55
153,262,101,114,17.8,89
145,144,270,255,16.4,81
234,252,249,289,17.1,66
238,267,245,223,20.8,62
224,159,170,171,22.9,85
204,179,274,262,20.5,69
265,253,173,292,19.6,57
260,131,272,164,23.0,96
277,103,144,101,23.0,98
297,169,107,222,22.7,91
207,152,224,268,23.8,64
164,252,197,271,15.2,99
113,205,152,126,22.3,80
266,216,283,152,18.1,100
117,168,223,109,23.3,78
126,187,189,280,19.3,91
251,126,184,135,15.7,58
263,260,183,190,19.1,74
109,169,243,158,22.1,58
202,132,136,214,18.5,52
270,114,193,102,21.8,61
115,151,209,155,18.1,66
255,101,219,249,19.8,78
127,109,264,284,17.9,72
187,170,137,285,16.5,86
200,271,253,265,25.0,77
191,153,168,204,21.9,66
136,213,285,125,22.7,100
193,163,279,115,19.7,67
253,130,195,198,19.8,94
261,263,289,291,18.5,95
158,112,210,124,18.4,98
134,157,288,201,23.7,52
243,233,160,286,24.2,77
248,283,295,295,23.4,56
190,156,113,256,19.9,61
239,111,201,134,19.4,74
117,195,152,153,21.9,82
276,218,217,239,20.4,50
206,250,290,258,22.9,97
291,234,286,248,22.9,79
210,285,298,246,16.2,69
200,294,187,177,16.2,83
248,126,169,193,19.1,76
189,131,286,122,21.8,60
181,167,234,292,20.5,88
291,292,114,254,19.1,78
120,209,135,200,20.5,70
239,222,107,218,22.5,65
185,221,181,109,16.1,61
126,283,240,104,17.2,58
135,224,240,239,17.3,72
232,264,172,115,19.0,52
239,271,199,229,22.2,66
222,215,190,224,19.4,50
157,262,171,205,19.6,62
221,231,262,168,24.1,84
253,187,160,107,23.5,50
159,178,217,222,15.3,80
111,215,156,112,21.4,61
259,150,186,140,17.2,70
279,155,113,178,21.1,64
107,184,120,115,19.6,91
244,147,222,146,18.5,57
135,245,237,258,16.1,96
179,200,263,294,24.3,81
221,245,177,226,23.4,87
122,187,244,213,24.6,83
144,209,180,201,15.9,51
269,137,197,279,15.1,93
175,171,181,139,18.3,82
221,140,252,197,22.5,55
178,272,201,198,23.0,89
190,145,216,196,22.9,77
237,186,113,269,23.5,54
282,289,178,110,19.9,55
113,191,127,119,20.6,68
168,240,193,175,18.9,69
132,253,260,240,18.6,68
226,239,102,172,16.5,89
133,259,173,220,16.3,86
226,111,180,178,16.1,70
191,211,106,169,22.3,84
218,272,117,262,18.5,98
262,300,194,217,21.8,58
239,146,119,256,19.4,90
288,188,147,149,16.8,58
107,115,274,194,17.7,100
287,184,150,194,17.8,75
234,132,221,138,15.6,92
125,127,159,108,23.3,84
256,261,300,269,18.0,57
102,157,143,253,21.8,93
116,141,256,152,19.4,92
141,160,273,237,24.5,82
145,146,197,248,18.4,100
204,232,199,106,17.4,58
118,203,145,182,21.8,53
172,241,162,277,15.1,81
240,118,190,186,19.1,78
235,160,165,133,17.9,64
201,209,293,105,24.1,59
184,108,219,221,16.8,52
213,269,199,170,22.2,89
165,183,254,102,22.1,85
274,239,167,235,15.8,89
104,167,190,213,22.2,73
208,291,118,259,15.9,77
240,169,151,146,20.5,97
222,249,174,224,18.1,62
217,229,246,227,15.3,68
261,150,289,111,22.1,61
215,240,180,139,17.3,96
258,254,196,213,16.7,77
150,171,174,245,20.9,73
167,120,231,168,22.0,90
